"product_name","country","year","month","forecast_date","actual_sales","predicted_sales","total_quantity","num_transactions","lag_1","moving_avg_3","absolute_error","percentage_error","forecast_accuracy","model_rmse","model_mae","model_r2","model_type","created_at"
Abatatriptan,GERMANY,2020,6,2020-06-01,1530746.0,1506287.524073814,2063,9,2100602.0,1678651.3333333333,24458.475926185958,1.5978141328597923,98.40218586714022,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abatatriptan,GERMANY,2020,7,2020-07-01,3108238.0,2940054.492444708,4189,25,1530746.0,2246528.6666666665,168183.507555292,5.410895419053881,94.58910458094611,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abatatriptan,GERMANY,2020,8,2020-08-01,396228.0,436310.5823740355,534,18,3108238.0,1678404.0,40082.5823740355,10.116039849287658,89.88396015071234,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abatatriptan,GERMANY,2020,9,2020-09-01,1478064.0,1515656.2332411567,1992,19,396228.0,1660843.3333333333,37592.233241156675,2.543342726780212,97.45665727321979,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abatatriptan,GERMANY,2020,10,2020-10-01,540918.0,539448.786059211,729,18,1478064.0,805070.0,1469.2139407889917,0.27161491035406327,99.72838508964593,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abatatriptan,GERMANY,2020,11,2020-11-01,1979656.0,1890687.5191998063,2668,29,540918.0,1332879.3333333333,88968.48080019373,4.494138415977004,95.505861584023,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abatatriptan,GERMANY,2020,12,2020-12-01,1219106.0,1224976.3285492577,1643,16,1979656.0,1246560.0,5870.328549257712,0.4815273281615965,99.5184726718384,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abilovir Aprotasol,GERMANY,2020,6,2020-06-01,249632.0,265200.07609902264,928,18,636454.0,400451.3333333333,15568.07609902264,6.236410435770511,93.76358956422949,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abilovir Aprotasol,GERMANY,2020,7,2020-07-01,483662.0,505156.6969384933,1798,13,249632.0,456582.6666666667,21494.69693849329,4.444156650407368,95.55584334959264,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abilovir Aprotasol,GERMANY,2020,8,2020-08-01,2884487.0,2517462.470050584,10723,21,483662.0,1205927.0,367024.52994941594,12.724083344782484,87.27591665521753,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abilovir Aprotasol,GERMANY,2020,9,2020-09-01,718768.0,446373.1200923746,2672,22,2884487.0,1362305.6666666667,272394.8799076254,37.89746898966362,62.10253101033638,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abilovir Aprotasol,GERMANY,2020,10,2020-10-01,166511.0,100982.3409493635,619,12,718768.0,1256588.6666666667,65528.6590506365,39.35395202157005,60.64604797842995,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abilovir Aprotasol,GERMANY,2020,11,2020-11-01,710429.0,645754.6426845631,2641,15,166511.0,531902.6666666666,64674.35731543694,9.10356380657841,90.8964361934216,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abilovir Aprotasol,GERMANY,2020,12,2020-12-01,1180910.0,1282871.1365162246,4390,20,710429.0,685950.0,101961.1365162246,8.634115768028435,91.36588423197156,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abobozolid,GERMANY,2020,6,2020-06-01,60150.0,71447.17232724135,802,14,148275.0,104300.0,11297.172327241351,18.78166637945362,81.21833362054637,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abobozolid,GERMANY,2020,7,2020-07-01,183525.0,145260.14194642115,2447,21,60150.0,130650.0,38264.85805357885,20.84994308872298,79.15005691127702,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abobozolid,GERMANY,2020,8,2020-08-01,198000.0,151540.0131646438,2640,15,183525.0,147225.0,46459.98683535619,23.46463981583646,76.53536018416354,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
Abobozolid,GERMANY,2020,9,2020-09-01,379350.0,451771.35676797427,5058,19,198000.0,253625.0,72421.35676797427,19.09090728034118,80.90909271965882,738706.6245744502,95850.61697300697,0.8626534961185066,GBTRegressor,2026-02-15 09:12:36.393
